t_start_utc,t_end_utc,n_images,mats_obs_utc,aim_overpass_utc,time_diff_min,mats_sat_lat_deg,mats_sat_lon_deg,aim_center_lat_deg,aim_center_lon_deg,cross_track_km,distance_sat_to_aim_km
2023-02-12T18:39:18Z,2023-02-12T18:41:21Z,42,2023-02-12T18:40:21Z,2023-02-12T18:35:33Z,-4.8,80.575,-140.259,80.62,-139.87,8.0,8.7
2023-02-12T19:27:39Z,2023-02-12T19:29:39Z,41,2023-02-12T19:28:39Z,2023-02-12T19:22:51Z,-5.8,-80.635,28.175,-80.662,27.916,0.1,5.5
2023-02-12T20:15:48Z,2023-02-12T20:17:51Z,42,2023-02-12T20:16:48Z,2023-02-12T20:10:09Z,-6.7,80.683,-163.445,80.675,-164.037,6.6,10.7
2023-02-12T21:04:06Z,2023-02-12T21:06:09Z,42,2023-02-12T21:05:09Z,2023-02-12T20:57:27Z,-7.7,-80.635,4.046,-80.716,3.744,4.7,10.6
2023-02-12T21:52:18Z,2023-02-12T21:54:18Z,41,2023-02-12T21:53:18Z,2023-02-12T21:44:42Z,-8.6,80.683,172.428,80.628,172.781,1.7,8.9
2023-02-12T22:40:36Z,2023-02-12T22:42:39Z,42,2023-02-12T22:41:36Z,2023-02-12T22:32:00Z,-9.6,-80.74,-19.135,-80.67,-19.44,9.6,9.6
2023-02-12T23:28:48Z,2023-02-12T23:30:48Z,41,2023-02-12T23:29:48Z,2023-02-12T23:19:18Z,-10.5,80.683,148.299,80.684,148.602,3.1,5.5
2023-02-13T00:17:06Z,2023-02-13T00:19:09Z,42,2023-02-13T00:18:06Z,2023-02-13T00:06:36Z,-11.5,-80.74,-43.267,-80.725,-43.625,4.8,6.6
2023-02-13T01:05:15Z,2023-02-13T01:07:18Z,42,2023-02-13T01:06:18Z,2023-02-13T00:53:54Z,-12.4,80.683,124.177,80.74,124.412,7.6,7.6
2023-02-13T01:53:36Z,2023-02-13T01:55:39Z,42,2023-02-13T01:54:36Z,2023-02-13T01:41:12Z,-13.4,-80.739,-67.395,-80.783,-67.838,0.1,9.3
2023-02-13T02:41:45Z,2023-02-13T02:43:48Z,42,2023-02-13T02:42:45Z,2023-02-13T02:28:27Z,-14.3,80.788,101.01,80.695,101.226,6.7,11.1
2023-02-13T03:30:03Z,2023-02-13T03:32:06Z,42,2023-02-13T03:31:06Z,2023-02-13T03:15:45Z,-15.3,-80.739,-91.527,-80.739,-91.029,4.7,8.9
2023-02-13T04:18:15Z,2023-02-13T04:20:18Z,42,2023-02-13T04:19:15Z,2023-02-13T04:03:03Z,-16.2,80.788,76.879,80.751,77.026,2.0,4.8
2023-02-13T05:06:33Z,2023-02-13T05:08:36Z,42,2023-02-13T05:07:36Z,2023-02-13T04:50:21Z,-17.2,-80.738,-115.66,-80.795,-115.235,9.4,9.9
2023-02-13T05:54:42Z,2023-02-13T05:56:48Z,43,2023-02-13T05:55:45Z,2023-02-13T05:37:39Z,-18.1,80.787,52.748,80.808,52.814,2.6,2.6
2023-02-13T06:43:03Z,2023-02-13T06:45:06Z,42,2023-02-13T06:44:03Z,2023-02-13T06:24:57Z,-19.1,-80.841,-138.824,-80.851,-139.454,4.9,11.2
2023-02-13T07:31:12Z,2023-02-13T07:33:15Z,42,2023-02-13T07:32:15Z,2023-02-13T07:12:15Z,-20.0,80.786,28.616,80.864,28.59,7.1,8.6
2023-02-13T08:19:30Z,2023-02-13T08:21:36Z,43,2023-02-13T08:20:33Z,2023-02-13T07:59:30Z,-21.1,-80.84,-162.959,-80.809,-162.654,0.1,6.4
2023-02-13T09:07:42Z,2023-02-13T09:09:45Z,42,2023-02-13T09:08:42Z,2023-02-13T08:46:48Z,-21.9,80.888,5.465,80.822,5.39,7.0,7.5
2023-02-13T09:56:00Z,2023-02-13T09:58:06Z,43,2023-02-13T09:57:03Z,2023-02-13T09:34:06Z,-22.9,-80.839,172.904,-80.865,173.115,4.4,4.8
2023-02-13T10:44:09Z,2023-02-13T10:46:15Z,43,2023-02-13T10:45:12Z,2023-02-13T10:21:24Z,-23.8,80.888,-18.669,80.879,-18.847,2.5,3.3
2023-02-13T11:32:30Z,2023-02-13T11:34:36Z,43,2023-02-13T11:33:33Z,2023-02-13T11:08:42Z,-24.9,-80.838,148.767,-80.921,148.872,9.0,9.5
2023-02-13T12:20:39Z,2023-02-13T12:22:45Z,43,2023-02-13T12:21:42Z,2023-02-13T11:56:00Z,-25.7,80.887,-42.805,80.935,-43.096,2.1,7.4
2023-02-13T13:08:57Z,2023-02-13T13:11:03Z,43,2023-02-13T13:10:00Z,2023-02-13T12:43:15Z,-26.8,-80.938,125.62,-80.882,125.662,5.0,6.3
2023-02-13T13:57:09Z,2023-02-13T13:59:15Z,43,2023-02-13T13:58:12Z,2023-02-13T13:30:33Z,-27.6,80.886,-66.941,80.896,-66.305,6.6,11.3
2023-02-13T14:45:27Z,2023-02-13T14:47:33Z,43,2023-02-13T14:46:30Z,2023-02-13T14:17:51Z,-28.6,-80.936,101.48,-80.939,101.406,0.4,1.3
2023-02-13T15:33:36Z,2023-02-13T15:35:42Z,43,2023-02-13T15:34:39Z,2023-02-13T15:05:09Z,-29.5,80.985,-90.075,80.953,-90.567,7.4,9.3
2023-02-13T16:21:57Z,2023-02-13T16:23:27Z,31,2023-02-13T16:22:42Z,2023-02-13T15:52:42Z,-30.0,-81.484,83.73,-81.422,71.564,106.9,201.0
