t_start_utc,t_end_utc,n_images,mats_obs_utc,aim_overpass_utc,time_diff_min,mats_tp_lat_deg,mats_tp_lon_deg,aim_center_lat_deg,aim_center_lon_deg,cross_track_km,distance_tp_to_aim_km
2023-02-17T00:40:59Z,2023-02-17T00:42:01Z,2,2023-02-17T00:42:01Z,2023-02-17T00:15:00Z,-27.0,-80.268,-48.696,-80.687,-45.107,74.0,80.9
2023-02-17T01:29:02Z,2023-02-17T01:31:00Z,3,2023-02-17T01:29:58Z,2023-02-17T01:02:00Z,-28.0,80.826,125.109,80.049,128.507,32.3,106.8
2023-02-17T02:18:01Z,2023-02-17T02:18:57Z,2,2023-02-17T02:18:01Z,2023-02-17T01:49:00Z,-29.0,-81.131,-62.511,-79.406,-58.972,102.7,203.1
2023-02-17T03:05:58Z,2023-02-17T03:07:00Z,2,2023-02-17T03:07:00Z,2023-02-17T02:37:00Z,-30.0,79.765,90.819,80.991,96.243,167.3,169.6
2023-02-17T03:54:01Z,2023-02-17T03:54:56Z,2,2023-02-17T03:54:01Z,2023-02-17T03:24:00Z,-30.0,-81.669,-74.571,-80.456,-90.248,281.3,301.6
2023-02-18T06:27:58Z,2023-02-18T06:27:58Z,1,2023-02-18T06:27:58Z,2023-02-18T06:58:00Z,30.0,78.455,32.572,78.76,47.384,228.4,326.6
2023-02-18T07:14:58Z,2023-02-18T07:16:00Z,2,2023-02-18T07:16:00Z,2023-02-18T07:46:00Z,30.0,-79.042,-156.182,-80.565,-156.645,135.3,169.8
2023-02-18T08:03:02Z,2023-02-18T08:04:02Z,2,2023-02-18T08:04:02Z,2023-02-18T08:33:00Z,29.0,79.527,14.85,79.91,16.839,57.9,58.1
2023-02-18T08:51:57Z,2023-02-18T08:52:59Z,2,2023-02-18T08:51:57Z,2023-02-18T09:20:00Z,28.0,-80.272,-171.135,-79.267,-170.825,77.8,112.1
2023-02-18T09:40:00Z,2023-02-18T09:41:00Z,2,2023-02-18T09:40:00Z,2023-02-18T10:07:00Z,27.0,80.636,0.413,78.481,1.494,149.3,240.9
2023-02-18T10:28:00Z,2023-02-18T10:29:02Z,2,2023-02-18T10:29:02Z,2023-02-18T10:55:00Z,26.0,-78.922,154.827,-80.346,158.016,167.0,170.9
2023-02-18T11:16:00Z,2023-02-18T11:17:00Z,2,2023-02-18T11:17:00Z,2023-02-18T11:42:00Z,25.0,79.594,-32.945,79.663,-28.735,58.6,84.7
2023-02-18T12:04:59Z,2023-02-18T12:06:01Z,2,2023-02-18T12:04:59Z,2023-02-18T12:29:00Z,24.0,-80.175,139.691,-79.002,143.4,45.4,150.3
2023-02-18T12:52:58Z,2023-02-18T12:53:58Z,2,2023-02-18T12:52:58Z,2023-02-18T13:17:00Z,24.0,80.685,-47.293,80.684,-60.491,150.3,237.3
2023-02-18T13:40:58Z,2023-02-18T13:42:00Z,2,2023-02-18T13:42:00Z,2023-02-18T14:04:00Z,22.0,-78.993,107.001,-80.118,112.578,167.0,168.3
2023-02-18T14:29:02Z,2023-02-18T14:30:02Z,2,2023-02-18T14:30:02Z,2023-02-18T14:51:00Z,21.0,79.494,-81.885,79.41,-74.399,87.6,152.7
2023-02-18T15:17:57Z,2023-02-18T15:18:59Z,2,2023-02-18T15:17:57Z,2023-02-18T15:38:00Z,20.0,-80.237,92.04,-78.732,97.546,45.6,201.2
2023-02-18T16:06:00Z,2023-02-18T16:07:00Z,2,2023-02-18T16:06:00Z,2023-02-18T16:26:00Z,20.0,80.613,-96.308,80.473,-105.798,122.0,174.1
2023-02-18T16:54:00Z,2023-02-18T16:55:02Z,2,2023-02-18T16:55:02Z,2023-02-18T17:13:00Z,18.0,-78.885,58.144,-79.883,67.046,195.1,213.4
2023-02-18T18:30:57Z,2023-02-18T18:31:59Z,2,2023-02-18T18:30:57Z,2023-02-18T18:48:00Z,17.0,-80.214,43.6,-80.863,34.976,32.1,173.4
2023-02-18T19:19:00Z,2023-02-18T19:20:00Z,2,2023-02-18T19:19:00Z,2023-02-18T19:35:00Z,16.0,80.588,-144.827,80.253,-151.203,104.0,123.8
2023-02-18T20:07:00Z,2023-02-18T20:08:02Z,2,2023-02-18T20:07:00Z,2023-02-18T20:22:00Z,15.0,-81.004,28.369,-79.642,21.423,199.1,199.5
2023-02-18T20:54:58Z,2023-02-18T20:55:58Z,2,2023-02-18T20:55:58Z,2023-02-18T21:10:00Z,14.0,79.611,-177.549,81.162,176.081,87.5,209.1
2023-02-18T21:43:59Z,2023-02-18T21:43:59Z,1,2023-02-18T21:43:59Z,2023-02-18T21:57:00Z,13.0,-80.121,-5.51,-80.665,-10.287,1.9,107.4
2023-02-18T22:31:58Z,2023-02-18T22:32:58Z,2,2023-02-18T22:31:58Z,2023-02-18T22:44:00Z,12.0,80.634,167.421,80.025,163.298,101.5,102.6
2023-02-18T23:20:02Z,2023-02-18T23:20:58Z,2,2023-02-18T23:20:02Z,2023-02-18T23:31:00Z,11.0,-80.949,-20.708,-79.396,-24.299,171.6,185.7
2023-02-19T00:08:02Z,2023-02-19T00:09:02Z,2,2023-02-19T00:09:02Z,2023-02-19T00:19:00Z,10.0,79.429,132.909,80.982,130.954,129.7,176.8
2023-02-19T00:56:57Z,2023-02-19T00:56:57Z,1,2023-02-19T00:56:57Z,2023-02-19T01:06:00Z,9.0,-80.192,-53.145,-80.46,-55.668,3.6,55.8
2023-02-19T01:45:00Z,2023-02-19T01:46:00Z,2,2023-02-19T01:45:00Z,2023-02-19T01:53:00Z,8.0,80.557,118.289,79.79,117.706,72.4,86.1
2023-02-19T02:33:00Z,2023-02-19T02:34:02Z,2,2023-02-19T02:33:00Z,2023-02-19T02:40:00Z,7.0,-80.979,-68.535,-79.144,-70.09,166.6,206.4
2023-02-19T03:20:58Z,2023-02-19T03:21:58Z,2,2023-02-19T03:21:58Z,2023-02-19T03:28:00Z,6.0,79.57,85.651,80.793,85.722,116.6,136.1
2023-02-19T04:09:59Z,2023-02-19T04:09:59Z,1,2023-02-19T04:09:59Z,2023-02-19T04:15:00Z,5.0,-80.088,-102.289,-80.245,-101.126,27.2,28.2
2023-02-19T04:58:02Z,2023-02-19T04:59:02Z,2,2023-02-19T04:58:02Z,2023-02-19T05:02:00Z,4.0,80.48,69.281,79.55,72.026,45.2,116.3
2023-02-19T05:45:56Z,2023-02-19T05:46:58Z,2,2023-02-19T05:45:56Z,2023-02-19T05:49:00Z,3.1,-81.067,-115.475,-78.888,-115.957,177.2,242.7
2023-02-19T06:34:02Z,2023-02-19T06:35:02Z,2,2023-02-19T06:35:02Z,2023-02-19T06:37:00Z,2.0,79.385,36.145,80.595,40.393,157.6,157.6
2023-02-19T07:22:01Z,2023-02-19T07:22:57Z,2,2023-02-19T07:22:57Z,2023-02-19T07:24:00Z,1.0,-80.147,-150.0,-80.024,-146.674,27.0,65.2
2023-02-19T08:11:00Z,2023-02-19T08:12:00Z,2,2023-02-19T08:11:00Z,2023-02-19T08:11:00Z,-0.0,80.53,21.549,79.305,26.264,44.0,164.4
2023-02-19T08:59:00Z,2023-02-19T09:00:02Z,2,2023-02-19T08:59:00Z,2023-02-19T08:59:00Z,-0.0,-80.957,-165.306,-80.98,-179.004,140.0,238.8
2023-02-19T09:46:58Z,2023-02-19T09:47:58Z,2,2023-02-19T09:47:58Z,2023-02-19T09:46:00Z,-2.0,79.514,-11.241,80.388,-5.03,146.6,154.8
2023-02-19T10:34:57Z,2023-02-19T10:35:59Z,2,2023-02-19T10:35:59Z,2023-02-19T10:33:00Z,-3.0,-80.054,160.896,-79.796,167.691,55.5,135.3
2023-02-19T11:24:02Z,2023-02-19T11:25:02Z,2,2023-02-19T11:24:02Z,2023-02-19T11:21:00Z,-3.0,80.449,-27.581,81.27,-38.023,18.5,205.6
2023-02-19T12:12:02Z,2023-02-19T12:12:58Z,2,2023-02-19T12:12:02Z,2023-02-19T12:08:00Z,-4.0,-80.887,145.458,-80.796,135.713,110.7,172.8
2023-02-19T13:00:02Z,2023-02-19T13:01:02Z,2,2023-02-19T13:00:02Z,2023-02-19T12:55:00Z,-5.0,81.258,-41.122,80.174,-50.544,202.3,207.5
2023-02-19T13:47:59Z,2023-02-19T13:49:01Z,2,2023-02-19T13:49:01Z,2023-02-19T13:42:00Z,-7.0,-79.956,111.831,-79.562,121.973,83.5,205.2
2023-02-19T14:37:00Z,2023-02-19T14:38:00Z,2,2023-02-19T14:37:00Z,2023-02-19T14:30:00Z,-7.0,80.495,-75.327,81.104,-83.162,17.1,154.9
2023-02-19T15:25:00Z,2023-02-19T15:26:02Z,2,2023-02-19T15:25:00Z,2023-02-19T15:17:00Z,-8.0,-80.926,97.777,-80.602,90.35,108.8,137.4
2023-02-19T16:12:58Z,2023-02-19T16:13:58Z,2,2023-02-19T16:12:58Z,2023-02-19T16:04:00Z,-9.0,81.328,-88.026,79.952,-96.132,211.8,211.8
2023-02-19T18:38:00Z,2023-02-19T18:39:02Z,2,2023-02-19T18:38:00Z,2023-02-19T18:26:00Z,-12.0,-80.905,49.267,-80.4,44.889,92.7,97.0
2023-02-19T19:25:58Z,2023-02-19T19:26:58Z,2,2023-02-19T19:25:58Z,2023-02-19T19:13:00Z,-13.0,81.313,-136.558,79.725,-141.811,195.0,201.2
2023-02-19T20:13:57Z,2023-02-19T20:14:59Z,2,2023-02-19T20:14:59Z,2023-02-19T20:01:00Z,-14.0,-79.984,15.593,-81.278,11.896,95.7,158.8
2023-02-19T21:03:02Z,2023-02-19T21:03:02Z,1,2023-02-19T21:03:02Z,2023-02-19T20:48:00Z,-15.0,80.383,-172.94,80.743,-173.734,26.0,42.7
2023-02-19T21:51:03Z,2023-02-19T21:51:58Z,2,2023-02-19T21:51:03Z,2023-02-19T21:35:00Z,-16.1,-80.832,0.029,-80.192,-0.657,64.4,72.4
