mats_obs_utc,aim_overpass_utc,time_diff_min,mats_sat_lat_deg,mats_sat_lon_deg,aim_center_lat_deg,aim_center_lon_deg,cross_track_km,distance_sat_to_aim_km
2023-02-16T03:05:02Z,2023-02-16T02:58:00Z,-7.0,81.101,98.579,79.568,102.728,83.1,187.3
2023-02-16T03:06:02Z,2023-02-16T02:59:00Z,-7.0,78.732,81.851,81.578,82.645,300.6,317.1
2023-02-16T03:53:01Z,2023-02-16T03:46:00Z,-7.0,-81.67,-86.11,-81.151,-102.942,210.5,284.7
2023-02-16T03:53:57Z,2023-02-16T03:46:00Z,-8.0,-79.781,-104.396,-81.151,-102.942,147.9,154.8
2023-02-16T04:41:02Z,2023-02-16T04:33:00Z,-8.0,81.9,85.911,80.587,71.28,271.5,286.7
2023-02-16T04:42:02Z,2023-02-16T04:33:00Z,-9.0,80.014,65.116,80.587,71.28,113.7,131.9
2023-02-16T05:30:00Z,2023-02-16T05:20:00Z,-10.0,-80.79,-120.736,-79.992,-115.629,16.2,129.9
2023-02-16T05:31:02Z,2023-02-16T05:21:00Z,-10.0,-78.212,-136.7,-81.795,-137.065,377.8,399.0
2023-02-16T18:21:02Z,2023-02-16T17:56:00Z,-25.0,-82.196,68.266,-78.826,62.461,328.9,389.5
2023-02-16T18:21:58Z,2023-02-16T17:57:00Z,-25.0,-80.812,46.478,-81.115,44.785,15.1,44.9
2023-02-16T19:10:01Z,2023-02-16T18:44:00Z,-26.0,81.079,-142.89,80.546,-141.059,31.9,67.7
2023-02-16T19:10:56Z,2023-02-16T18:45:00Z,-25.9,78.892,-158.605,82.03,-164.578,311.8,365.8
2023-02-16T19:57:57Z,2023-02-16T19:31:00Z,-27.0,-81.7,33.14,-79.951,31.955,163.9,195.8
2023-02-16T19:58:59Z,2023-02-16T19:32:00Z,-27.0,-79.575,13.077,-81.775,10.664,217.0,248.6
2023-02-16T20:46:00Z,2023-02-16T20:18:00Z,-28.0,81.887,-155.612,79.224,-155.172,211.0,296.6
2023-02-16T20:47:02Z,2023-02-16T20:19:00Z,-28.0,79.908,-176.863,81.376,-174.142,169.4,170.6
2023-02-16T21:33:57Z,2023-02-16T21:06:00Z,-28.0,-82.252,21.985,-80.907,-0.095,347.1,386.8
2023-02-16T21:34:59Z,2023-02-16T21:06:00Z,-29.0,-80.75,-2.372,-80.907,-0.095,35.0,44.0
