mats_obs_utc,aim_overpass_utc,time_diff_min,mats_tp_lat_deg,mats_tp_lon_deg,aim_center_lat_deg,aim_center_lon_deg,cross_track_km,distance_tp_to_aim_km
2023-02-15T19:46:00Z,2023-02-15T19:53:00Z,7.0,-78.009,11.044,-80.772,19.49,352.0,352.1
2023-02-15T20:33:02Z,2023-02-15T20:40:00Z,7.0,80.797,-160.946,80.145,-166.788,124.8,129.7
2023-02-15T20:34:02Z,2023-02-15T20:40:00Z,6.0,78.594,-178.218,80.145,-166.788,269.4,290.6
2023-02-15T21:21:01Z,2023-02-15T21:27:00Z,6.0,-81.184,12.654,-79.502,5.876,221.6,225.7
2023-02-15T21:21:57Z,2023-02-15T21:27:00Z,5.0,-79.411,-5.307,-79.502,5.876,142.4,227.7
2023-02-15T22:09:02Z,2023-02-15T22:14:00Z,5.0,81.492,-173.642,78.73,178.392,314.2,342.3
2023-02-15T22:10:02Z,2023-02-15T22:15:00Z,5.0,79.807,165.397,81.058,160.913,76.3,162.0
2023-02-15T22:58:01Z,2023-02-15T23:02:00Z,4.0,-80.364,-21.752,-80.525,-25.425,25.4,70.2
2023-02-15T22:59:03Z,2023-02-15T23:02:00Z,2.9,-77.903,-37.739,-80.525,-25.425,376.8,387.1
2023-02-15T23:45:59Z,2023-02-15T23:49:00Z,3.0,80.884,151.855,79.861,148.037,132.4,134.2
2023-02-15T23:47:00Z,2023-02-15T23:49:00Z,2.0,78.681,133.981,79.861,148.037,265.9,318.5
2023-02-16T00:33:59Z,2023-02-16T00:36:00Z,2.0,-81.23,-34.869,-79.195,-39.556,221.5,243.2
2023-02-16T00:35:01Z,2023-02-16T00:37:00Z,2.0,-79.243,-54.687,-81.351,-58.344,177.9,244.4
2023-02-16T01:21:58Z,2023-02-16T01:23:00Z,1.0,81.557,139.613,78.399,132.727,325.1,375.4
2023-02-16T01:22:58Z,2023-02-16T01:24:00Z,1.0,79.941,118.186,80.829,116.171,63.5,105.8
2023-02-16T02:10:58Z,2023-02-16T02:11:00Z,0.0,-80.433,-69.317,-80.264,-70.458,27.8,28.4
2023-02-16T02:59:02Z,2023-02-16T02:58:00Z,-1.0,80.785,102.379,79.568,102.728,97.7,135.6
2023-02-16T03:00:02Z,2023-02-16T02:59:00Z,-1.0,78.573,85.16,81.578,82.645,289.1,337.8
2023-02-16T03:47:01Z,2023-02-16T03:45:00Z,-2.0,-81.173,-84.031,-78.881,-85.106,193.2,256.1
2023-02-16T03:47:57Z,2023-02-16T03:46:00Z,-2.0,-79.395,-101.93,-81.151,-102.942,163.1,196.4
2023-02-16T04:35:02Z,2023-02-16T04:33:00Z,-2.0,81.484,89.646,80.587,71.28,287.7,332.2
2023-02-16T04:36:02Z,2023-02-16T04:33:00Z,-3.0,79.786,68.738,80.587,71.28,101.1,101.4
2023-02-16T05:24:00Z,2023-02-16T05:20:00Z,-4.0,-80.353,-118.328,-79.992,-115.629,1.1,65.1
2023-02-16T18:15:02Z,2023-02-16T17:56:00Z,-19.0,-81.661,69.955,-78.826,62.461,313.0,345.2
2023-02-16T18:15:58Z,2023-02-16T17:57:00Z,-19.0,-80.385,48.988,-81.115,44.785,32.1,110.6
2023-02-16T19:04:01Z,2023-02-16T18:44:00Z,-20.0,80.753,-139.223,80.546,-141.059,37.9,40.4
2023-02-16T19:04:57Z,2023-02-16T18:44:00Z,-21.0,78.707,-155.347,80.546,-141.059,310.7,350.6
2023-02-16T19:51:58Z,2023-02-16T19:31:00Z,-21.0,-81.217,35.428,-79.951,31.955,148.2,154.4
2023-02-16T19:53:00Z,2023-02-16T19:32:00Z,-21.0,-79.221,15.696,-81.775,10.664,233.8,298.6
2023-02-16T20:40:01Z,2023-02-16T20:18:00Z,-22.0,81.466,-151.998,79.224,-155.172,218.7,256.4
2023-02-16T20:40:57Z,2023-02-16T20:19:00Z,-22.0,79.904,-171.587,81.376,-174.142,126.8,170.2
2023-02-16T21:27:58Z,2023-02-16T21:05:00Z,-23.0,-81.712,23.578,-78.52,16.714,327.6,378.1
2023-02-16T21:29:00Z,2023-02-16T21:06:00Z,-23.0,-80.329,0.162,-80.907,-0.095,53.0,64.5
2023-02-16T22:17:03Z,2023-02-16T21:53:00Z,-24.1,80.698,171.875,80.302,173.787,15.8,56.3
2023-02-16T22:17:58Z,2023-02-16T21:54:00Z,-24.0,78.631,155.973,81.938,151.15,327.4,378.8
2023-02-16T23:04:59Z,2023-02-16T22:40:00Z,-25.0,-81.177,-13.527,-79.682,-13.452,125.7,166.5
2023-02-16T23:06:01Z,2023-02-16T22:41:00Z,-25.0,-79.151,-33.028,-81.635,-33.823,252.7,277.0
2023-02-16T23:53:02Z,2023-02-16T23:27:00Z,-26.0,81.434,158.984,78.93,159.186,195.2,278.8
2023-02-16T23:53:58Z,2023-02-16T23:28:00Z,-26.0,79.839,139.623,81.19,141.117,146.8,152.8
2023-02-17T00:40:59Z,2023-02-17T00:15:00Z,-26.0,-81.693,-25.501,-80.687,-45.107,306.0,350.5
2023-02-17T00:42:01Z,2023-02-17T00:15:00Z,-27.0,-80.268,-48.696,-80.687,-45.107,74.0,80.9
2023-02-17T01:29:02Z,2023-02-17T01:02:00Z,-27.0,81.803,147.637,80.049,128.507,376.6,385.8
2023-02-17T01:29:58Z,2023-02-17T01:02:00Z,-28.0,80.826,125.109,80.049,128.507,32.3,106.8
2023-02-17T01:31:00Z,2023-02-17T01:03:00Z,-28.0,78.547,107.262,81.826,106.773,346.2,365.2
2023-02-17T02:18:01Z,2023-02-17T01:49:00Z,-29.0,-81.131,-62.511,-79.406,-58.972,102.7,203.1
2023-02-17T02:18:57Z,2023-02-17T01:50:00Z,-29.0,-79.321,-80.187,-81.479,-78.434,234.4,242.4
2023-02-17T03:05:58Z,2023-02-17T02:37:00Z,-29.0,81.509,112.466,80.991,96.243,212.5,279.7
2023-02-17T03:07:00Z,2023-02-17T02:37:00Z,-30.0,79.765,90.819,80.991,96.243,167.3,169.6
2023-02-17T03:54:01Z,2023-02-17T03:24:00Z,-30.0,-81.669,-74.571,-80.456,-90.248,281.3,301.6
2023-02-17T03:54:56Z,2023-02-17T03:25:00Z,-29.9,-80.405,-95.583,-81.995,-113.34,55.1,348.3
2023-02-18T06:27:58Z,2023-02-18T06:58:00Z,30.0,78.455,32.572,78.76,47.384,228.4,326.6
2023-02-18T07:14:58Z,2023-02-18T07:45:00Z,30.0,-81.116,-136.987,-78.045,-141.085,279.3,351.4
2023-02-18T07:16:00Z,2023-02-18T07:46:00Z,30.0,-79.042,-156.182,-80.565,-156.645,135.3,169.8
2023-02-18T08:03:02Z,2023-02-18T08:33:00Z,30.0,81.352,34.897,79.91,16.839,348.2,362.5
2023-02-18T08:04:02Z,2023-02-18T08:33:00Z,29.0,79.527,14.85,79.91,16.839,57.9,58.1
2023-02-18T08:51:57Z,2023-02-18T09:20:00Z,28.0,-80.272,-171.135,-79.267,-170.825,77.8,112.1
2023-02-18T08:52:59Z,2023-02-18T09:20:00Z,27.0,-77.773,173.182,-79.267,-170.825,338.1,389.7
2023-02-18T09:40:00Z,2023-02-18T10:07:00Z,27.0,80.636,0.413,78.481,1.494,149.3,240.9
2023-02-18T09:41:00Z,2023-02-18T10:08:00Z,27.0,78.355,-16.207,80.886,-15.287,252.6,282.4
2023-02-18T10:28:00Z,2023-02-18T10:55:00Z,27.0,-81.044,173.649,-80.346,158.016,248.9,290.9
2023-02-18T10:29:02Z,2023-02-18T10:55:00Z,26.0,-78.922,154.827,-80.346,158.016,167.0,170.9
2023-02-18T11:16:00Z,2023-02-18T11:42:00Z,26.0,81.39,-12.678,79.663,-28.735,345.9,349.7
2023-02-18T11:17:00Z,2023-02-18T11:42:00Z,25.0,79.594,-32.945,79.663,-28.735,58.6,84.7
2023-02-18T12:04:59Z,2023-02-18T12:29:00Z,24.0,-80.175,139.691,-79.002,143.4,45.4,150.3
2023-02-18T12:06:01Z,2023-02-18T12:30:00Z,24.0,-77.643,124.343,-81.23,125.2,365.4,399.6
2023-02-18T12:52:58Z,2023-02-18T13:17:00Z,24.0,80.685,-47.293,80.684,-60.491,150.3,237.3
2023-02-18T12:53:58Z,2023-02-18T13:17:00Z,23.0,78.427,-64.1,80.684,-60.491,252.8,261.5
2023-02-18T13:40:58Z,2023-02-18T14:04:00Z,23.0,-81.087,126.029,-80.118,112.578,246.8,266.4
2023-02-18T13:42:00Z,2023-02-18T14:04:00Z,22.0,-78.993,107.001,-80.118,112.578,167.0,168.3
2023-02-18T14:29:02Z,2023-02-18T14:51:00Z,22.0,81.336,-61.939,79.41,-74.399,314.7,314.7
2023-02-18T14:30:02Z,2023-02-18T14:51:00Z,21.0,79.494,-81.885,79.41,-74.399,87.6,152.7
2023-02-18T15:17:57Z,2023-02-18T15:38:00Z,20.0,-80.237,92.04,-78.732,97.546,45.6,201.2
2023-02-18T15:18:59Z,2023-02-18T15:39:00Z,20.0,-77.726,76.479,-81.052,80.139,363.5,377.6
2023-02-18T16:06:00Z,2023-02-18T16:26:00Z,20.0,80.613,-96.308,80.473,-105.798,122.0,174.1
